#;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;Gl;Gb;
 ; ;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(deg);(deg);
158;J0355+28;mss+20;03:55;0.0e+00;mss+20;+28;0.0e+00;mss+20;*;0;*;*;0;*;165.177  ;-19.444  ;
159;J0357-05;mss+20;03:57:56;0.0e+00;mss+20;-05:09:44;0.0e+00;mss+20;*;0;*;*;0;*;195.176  ;-40.525  ;
160;J0357+3205;aaa+09c;03:57:52.5;2.0e-01;rkp+11;+32:05:25;6.0e+00;rkp+11;117;2.0e+01;lmm+13;115;2.0e+01;lmm+13;162.760  ;-16.006  ;
161;J0357+5236;dtws85;03:57:44.8403;2.0e-04;dgb+19;+52:36:57.493;1.0e-03;dgb+19;13.88;9.0e-02;dgb+19;-10.61;8.0e-02;dgb+19;149.099  ;-0.522   ;
162;J0358+4155;slr+14;03:58:03.1746;1.2e-03;lsk+18;+41:55:19.03;2.1e-02;lsk+18;*;0;*;*;0;*;156.112  ;-8.620   ;
163;J0358+5413;mth72;03:58:53.7238;2.0e-04;lwy+16;+54:13:13.784;3.0e-03;lwy+16;9.3;5.0e-01;lwy+16;8.3;8.0e-01;lwy+16;148.190  ;0.811    ;
164;J0358+6627;slr+14;03:58:37.929;3.4e-03;lsk+18;+66:27:46.57;2.2e-02;lsk+18;*;0;*;*;0;*;140.128  ;10.064   ;
165;J0359+5414;cwp+17;03:59:26.01;2.0e-02;cwp+17;+54:14:55.7;3.0e-01;cwp+17;*;0;*;*;0;*;148.231  ;0.883    ;
166;J0401-7608;mlt+78;04:01:51.75;1.0e-02;lbs+20;-76:08:12.95;5.0e-02;lbs+20;*;0;*;*;0;*;290.313  ;-35.907  ;
167;J0402+4825;ccl+21;04:02:40.633;9.0e-03;ccl+21;+48:25:57.51;7.0e-02;ccl+21;*;0;*;*;0;*;152.428  ;-3.177   ;
168;J0405+3347;mss+20;04:05;0;mss+20;+33;0.0e+00;mss+20;*;0;*;*;0;*;163.260  ;-14.318  ;
169;J0406+30;mss+20;04:06;0.0e+00;mss+20;+30;0.0e+00;mss+20;*;0;*;*;0;*;165.571  ;-16.338  ;
170;J0406+6138;dth78;04:06:30.0806;2.0e-04;dgb+19;+61:38:41.408;1.0e-03;dgb+19;12.4;1.0e-01;dgb+19;22.74;8.0e-02;dgb+19;144.025  ;7.046    ;
171;J0407+1607;lxf+05;04:07:54.939;3.0e-03;lxf+05;+16:07:16.4;2.0e-01;lxf+05;*;0;*;*;0;*;176.618  ;-25.656  ;
172;J0408+551;hrk+08;04:08;0;hrk+08;+55;0;hrk+08;*;0;*;*;0;*;148.663  ;2.267    ;
173;J0408+552;hrk+08;04:08;0;hrk+08;+55;0;hrk+08;*;0;*;*;0;*;148.663  ;2.267    ;
174;J0410-31;bbj+11;04:10:39;3.3e+01;bbj+11;-31:07:29;4.2e+02;bbj+11;*;0;*;*;0;*;230.586  ;-46.671  ;
175;J0413+58;hrk+08;04:13;0;hrk+08;+58;0;hrk+08;*;0;*;*;0;*;147.122  ;4.934    ;
176;J0414+31;mss+20;04:14;0.0e+00;mss+20;+31;0.0e+00;mss+20;*;0;*;*;0;*;166.112  ;-14.415  ;
177;J0415+6954;dtws85;04:15:55.653;3.4e-03;hlk+04;+69:54:09.89;2.5e-02;hlk+04;-0.8;5.2e+00;*;-13;6.9e+00;*;138.911  ;13.667   ;
178;J0417+35;cnst96;04:17:43;1.6e+01;cnst96;+35:45;5.0e+00;cnst96;*;0;*;*;0;*;163.219  ;-10.518  ;
179;J0417+61;slr+14;04:17;3.0e+00;slr+14;+61:08;1.8e+01;slr+14;*;0;*;*;0;*;145.299  ;7.540    ;
180;J0418-4154;bcm+16;04:18:03.7748;4.0e-04;lbs+20;-41:54:14.42;6.0e-02;lbs+20;*;0;*;*;0;*;246.262  ;-45.682  ;
181;J0418+5732;vck+10;04:18:33.867;4.3e-02;vck+10;+57:32:22.91;3.5e-01;vck+10;*;0;*;*;0;*;147.979  ;5.119    ;
182;J0418+6635;trr+21;04:18:48.0;0;aab+22;+66:35:25;0;aab+22;*;0;*;*;0;*;141.525  ;11.536   ;
183;J0419+44;hrk+08;04:19;0;hrk+08;+44;0;hrk+08;*;0;*;*;0;*;157.525  ;-4.494   ;
184;J0420-5022;hmz+04;04:20:01.95;4.0e-02;hmz+04;-50:22:48.1;6.0e-01;hmz+04;*;0;*;*;0;*;258.136  ;-44.386  ;
185;J0421-0345;mld+96;04:21:33.556;1.5e-02;hlk+04;-03:45:06.6;6.0e-01;hlk+04;*;0;*;*;0;*;197.504  ;-34.757  ;
186;J0421+3255;ttol16;04:21:33.2;2.0e-01;tbc+20;+32:55:50;1.0e+01;tbc+20;*;0;*;*;0;*;165.840  ;-11.921  ;
187;J0426+4933;hrk+08;04:26:06.813;1.0e-03;bck+13;+49:33:38.46;4.0e-02;bck+13;*;0;*;*;0;*;154.436  ;0.288    ;
188;J0435+2749;rtj+96;04:35:51.818;4.0e-03;bfrs18;+27:49:01.7;4.0e-01;bfrs18;*;0;*;*;0;*;171.842  ;-13.071  ;
189;J0437-4715;jlh+93;04:37:15.8961737;6.0e-07;rhc+16;-47:15:09.110714;7.0e-06;rhc+16;121.4385;2.0e-03;rhc+16;-71.4754;2.0e-03;rhc+16;253.394  ;-41.963  ;
190;J0447-04;kkl+15;04:47;1.0e+00;kkl+15;-04:35;1.8e+01;kkl+15;*;0;*;*;0;*;202.072  ;-29.657  ;
191;J0448-2749;lml+98;04:48:41.567;5.4e-03;hlk+04;-27:49:46.74;1.1e-01;hlk+04;*;0;*;*;0;*;228.347  ;-37.918  ;
192;J0449-7031;mfl+06;04:49:05.67;5.0e-02;mfl+06;-70:31:31.7;3.0e-01;mfl+06;*;0;*;*;0;*;282.286  ;-35.512  ;
193;J0450-1248;mlt+78;04:50:08.781;3.0e-03;hlk+04;-12:48:07.10;9.0e-02;hlk+04;*;0;*;*;0;*;211.075  ;-32.629  ;
194;J0451-67;mfl+06;04:51:50;7.0e+01;mfl+06;-67:18;7.0e+00;mfl+06;*;0;*;*;0;*;278.410  ;-36.290  ;
195;J0452-1759;vlw69;04:52:34.1057;1.0e-04;cbv+09;-17:59:23.371;2.0e-03;cbv+09;11.5;9.0e-01;jbv+19;6;2.0e+00;jbv+19;217.078  ;-34.087  ;
196;J0453+1559;dsm+13;04:53:45.41368;5.0e-05;msf+15;+15:59:21.3063;5.9e-03;msf+15;-5.5;5.0e-01;msf+15;-6.0;4.2e+00;msf+15;184.125  ;-17.137  ;
197;J0454+4529;mhl+18;04:54:59.310;8.0e-03;tbc+20;+45:29:46.7;1.0e-01;tbc+20;*;0;*;*;0;*;160.706  ;1.243    ;
198;J0454+5543;dth78;04:54:07.7506;1.0e-04;cbv+09;+55:43:41.437;2.0e-03;cbv+09;53.34;6.0e-02;cbv+09;-17.56;1.4e-01;cbv+09;152.617  ;7.547    ;
199;J0455-6951;mmh+91;04:55:47.55;8.0e-02;ckm+01;-69:51:34.3;6.0e-01;ckm+01;*;0;*;*;0;*;281.290  ;-35.187  ;
200;J0456-69;rcl+13;04:56:30;0;rcl+13;-69:10;0;rcl+13;*;0;*;*;0;*;280.457  ;-35.334  ;
201;J0456-7031;mfl+06;04:56:02.5;3.0e-01;mfl+06;-70:31:06.6;1.2e+00;mfl+06;*;0;*;*;0;*;282.049  ;-34.966  ;
202;J0457+23;dsm+13;04:57:06;7.0e+00;dsm+13;+23:34:00;1.0e+02;dsm+13;*;0;*;*;0;*;178.305  ;-12.005  ;
203;J0457-6337;mfl+06;04:57:07.79;8.0e-02;mfl+06;-63:37:30.4;9.0e-01;mfl+06;*;0;*;*;0;*;273.816  ;-36.701  ;
204;J0457-69;rcl+13;04:57:02;0;rcl+13;-69:46;0;rcl+13;*;0;*;*;0;*;281.143  ;-35.113  ;
205;J0458-0505;lbr+13;04:58:37.121;2.6e-02;lbr+13;-05:05:05.1;4.0e+00;lbr+13;*;0;*;*;0;*;204.139  ;-27.348  ;
206;J0458-67;rcl+13;04:58:59;0;rcl+13;-67:43;0;rcl+13;*;0;*;*;0;*;278.670  ;-35.518  ;
207;J0459-0210;mld+96;04:59:51.941;6.7e-03;hlk+04;-02:10:06.6;2.1e-01;hlk+04;*;0;*;*;0;*;201.444  ;-25.678  ;
208;J0501+4516;gwk08;05:01:06.76;1.0e-02;gwk+10;+45:16:33.92;1.1e-01;gwk+10;*;0;*;*;0;*;161.547  ;1.949    ;
209;J0502+4654;dth78;05:02:04.561;4.0e-03;hlk+04;+46:54:06.09;9.0e-02;hlk+04;-8;3.0e+00;hla93;8;5.0e+00;hla93;160.363  ;3.077    ;
210;J0502-6617;mmh+91;05:02:50.53;1.0e-01;ckm+01;-66:17:58.8;9.0e-01;ckm+01;*;0;*;*;0;*;276.869  ;-35.504  ;
211;J0506+50;qpl+19;05:06:14.1;0;aab+22;+50:30:30;0;aab+22;*;0;*;*;0;*;157.896  ;5.803    ;
212;J0509+0856;mgf+19;05:09:22.23485;1.0e-05;mgf+19;+08:56:25.0248;8.0e-04;mgf+19;5.4;2.0e-01;mgf+19;-4.3;5.0e-01;mgf+19;192.486  ;-17.931  ;
213;J0509+37;tkt22;05:09;4.0e+00;tkt22;+37:32;1.5e+01;tkt22;*;0;*;*;0;*;168.605  ;-1.562   ;
214;J0509+3801;slr+14;05:09:31.7880;2.6e-04;lsk+18;+38:01:18.083;1.4e-02;lsk+18;*;0;*;*;0;*;168.275  ;-1.187   ;
215;J0511-6508;mfl+06;05:11:56.50;2.0e-02;mfl+06;-65:08:36.5;3.0e-01;mfl+06;*;0;*;*;0;*;275.250  ;-34.827  ;
216;J0514-4002A;fgri04;05:14:06.69271;2.0e-04;rfgr19;-40:02:48.8930;1.9e-03;rfgr19;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.514  ;-35.036  ;
217;J0514-4002B;rfg+22;05:14:06.73;8.0e-02;rfg+22;-40:02:47.9;6.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.513  ;-35.036  ;
218;J0514-4002C;rfg+22;05:14:06.69;4.0e-02;rfg+22;-40:02:49.4;3.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.514  ;-35.036  ;
219;J0514-4002D;rfg+22;05:14:06.73;5.0e-02;rfg+22;-40:02:48.2;5.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.513  ;-35.036  ;
220;J0514-4002E;rfg+22;05:14:06.68;6.0e-02;rfg+22;-40:02:47.7;5.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.513  ;-35.036  ;
221;J0514-4002F;rfg+22;05:14:06.7;1.0e-01;rfg+22;-40:02:48.5;8.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.513  ;-35.036  ;
222;J0514-4002G;rfg+22;05:14:06.63;5.0e-02;rfg+22;-40:02:48.1;4.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.513  ;-35.036  ;
223;J0514-4002H;rfg+22;05:14:06.6;1.0e-01;rfg+22;-40:02:48;1.0e+00;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.513  ;-35.037  ;
224;J0514-4002I;rfg+22;05:14:06.75;7.0e-02;rfg+22;-40:02:48.2;6.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.513  ;-35.036  ;
225;J0514-4002J;rfg+22;05:14:06.7;2.0e-01;rfg+22;-40:02:48;2.0e+00;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.513  ;-35.036  ;
226;J0514-4002K;rfg+22;05:14:06.8;2.0e-01;rfg+22;-40:02:48;2.0e+00;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.513  ;-35.036  ;
227;J0514-4002L;rfg+22;05:14:06.8;1.0e-01;rfg+22;-40:02:48.0;8.0e-01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.513  ;-35.036  ;
228;J0514-4002M;rfg+22;05:14:06.8;2.5e+00;rfg+22;-40:02:48;2.8e+01;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.513  ;-35.036  ;
229;J0514-4002N;rfg+22;05:14:06.7;1.0e-01;rfg+22;-40:02:47;1.0e+00;rfg+22;2.145;2.4e-02;vb21;-0.650;2.4e-02;vb21;244.513  ;-35.036  ;
230;J0514-4408;bcm+16;05:14:52.190;3.0e-03;brs+19;-44:08:37.38;2.0e-02;brs+19;*;0;*;*;0;*;249.515  ;-35.365  ;
231;J0517+2212;cha03;05:17:17.147;2.0e-03;bfrs18;+22:12:51.9;2.0e-01;bfrs18;*;0;*;*;0;*;182.176  ;-9.012   ;
232;J0518+5125;scb+19;05:18:26.145;8.0e-03;mbc+20;+51:25:58.7;2.0e-01;mbc+20;*;0;*;*;0;*;158.262  ;7.903    ;
233;J0518+5416;slr+14;05:18:53.199;1.8e-02;lsk+18;+54:16:50.0;2.9e-01;lsk+18;*;0;*;*;0;*;155.916  ;9.557    ;
234;J0519+44;hrk+08;05:19;0;hrk+08;+44;0;hrk+08;*;0;*;*;0;*;164.464  ;3.754    ;
235;J0519-6932;mfl+06;05:19:46.917;1.2e-02;mfl+06;-69:32:23.48;7.0e-02;mfl+06;*;0;*;*;0;*;280.287  ;-33.254  ;
236;J0520-2553;lml+98;05:20:36.185;3.4e-03;hlk+04;-25:53:12.29;1.1e-01;hlk+04;*;0;*;*;0;*;228.434  ;-30.543  ;
237;J0521-68;rcl+13;05:21:44;0;rcl+13;-68:35;0;rcl+13;*;0;*;*;0;*;279.124  ;-33.262  ;
238;J0522-6847;mfl+06;05:22:23.06;8.0e-02;mfl+06;-68:47:02.2;3.0e-01;mfl+06;*;0;*;*;0;*;279.348  ;-33.168  ;
239;J0523-7125;wmk+22;05:23:48.66;3.0e-02;wmk+22;-71:25:52.58;1.5e-01;wmk+22;*;0;*;*;0;*;282.415  ;-32.547  ;
240;J0525+1115;mlt+78;05:25:56.4483;1.1e-03;hlk+04;+11:15:19.08;7.0e-02;hlk+04;31;2.0e+00;jbv+19;-1;8.0e+00;jbv+19;192.695  ;-13.246  ;
241;J0525-6607;mgi+79;05:26:00.9;1.0e-01;kkm+03;-66:04:36.3;6.0e-01;kkm+03;*;0;*;*;0;*;276.087  ;-33.246  ;
242;J0528+2200;sr68;05:28:52.264;9.0e-03;ywml10;+22:00:04;2.0e+00;ywml10;-20;1.9e+01;hla93;7;9.0e+00;hla93;183.856  ;-6.896   ;
243;J0529-0715;clh+20;05:29:08.973;2.0e-03;clh+20;-07:15:26.43;1.0e-01;clh+20;*;0;*;*;0;*;210.065  ;-21.582  ;
244;J0529-6652;mhah83;05:29:50.90;3.0e-02;lbs+20;-66:52:39.9;3.0e-01;lbs+20;*;0;*;*;0;*;276.975  ;-32.763  ;
245;J0530-39;mss+20;05:30;0.0e+00;mss+20;-39;0.0e+00;mss+20;*;0;*;*;0;*;243.875  ;-31.843  ;
246;J0532-6639;mfl+06;05:32:59.51;6.0e-02;mfl+06;-66:39:37.3;5.0e-01;mfl+06;*;0;*;*;0;*;276.675  ;-32.481  ;
247;J0532-69;rcl+13;05:32:04;0;rcl+13;-69:46;0;rcl+13;*;0;*;*;0;*;280.333  ;-32.163  ;
248;J0533+0402;snt97;05:33:25.828;5.0e-03;lbs+20;+04:01:59.7;2.0e-01;lbs+20;*;0;*;*;0;*;200.085  ;-15.326  ;
249;J0533-4524;ovm+20;05:33:13.89;4.0e-02;ovm+20;-45:24:50.2;2.0e-01;ovm+20;*;0;*;*;0;*;251.461  ;-32.264  ;
250;J0533+6759;san16;05:33:55.1401;3.0e-04;san16;+67:59:17.489;3.0e-03;san16;*;0;*;*;0;*;144.780  ;18.183   ;
251;J0534-13;mss+20;05:34;0.0e+00;mss+20;-13;0.0e+00;mss+20;*;0;*;*;0;*;216.227  ;-22.957  ;
252;J0534+2200;sr68;05:34:31.973;5.0e-03;mcn71;+22:00:52.06;6.0e-02;mcn71;-14.7;8.0e-01;nr06;2.0;8.0e-01;nr06;184.558  ;-5.784   ;
253;J0534+34;ttm18;05:34:30;2.0e+01;ttm18;+34:07;1.5e+01;ttm18;*;0;*;*;0;*;174.353  ;0.746    ;
254;J0534-6703;mfl+06;05:34:36.17;1.0e-01;mfl+06;-67:03:48.8;8.0e-01;mfl+06;*;0;*;*;0;*;277.129  ;-32.279  ;
255;J0535-66;rcl+13;05:35:40;0;rcl+13;-66:52;0;rcl+13;*;0;*;*;0;*;276.884  ;-32.197  ;
256;J0535-6935;ckm+01;05:35;2.0e+00;ckm+01;-69:35;7.0e+00;ckm+01;*;0;*;*;0;*;280.076  ;-31.936  ;
257;J0536-7543;mlt+78;05:36:30.82;1.0e-02;jbv+19;-75:43:54.8;1.0e-01;jbv+19;3;4.0e+01;jbv+19;65;8.0e+00;jbv+19;287.161  ;-30.821  ;
258;J0537-69;rcl+13;05:37:43;0;rcl+13;-69:21;0;rcl+13;*;0;*;*;0;*;279.768  ;-31.730  ;
259;J0537-6910;mgz+98;05:37:47.416;1.1e-01;tbf+06;-69:10:19.88;6.0e-01;tbf+06;*;0;*;*;0;*;279.559  ;-31.745  ;
260;J0538+2817;fcwa95;05:38:25.0572;1.0e-04;cbv+09;+28:17:09.161;2.0e-03;cbv+09;-23.57;1.0e-01;cbv+09;52.87;1.0e-01;cbv+09;179.719  ;-1.686   ;
261;J0540+3207;cfl+06;05:40:37.116;1.0e-03;nab+13;+32:07:37.3;1.0e-01;nab+13;*;0;*;*;0;*;176.719  ;0.761    ;
262;J0540-6919;shh84;05:40:11.202;9.0e-03;msl+10;-69:19:54.17;5.0e-02;msl+10;*;0;*;*;0;*;279.717  ;-31.516  ;
263;J0540-7125;lml+98;05:40:30.8;3.0e-01;dsb+98;-71:25:31.4;5.0e-01;dsb+98;*;0;*;*;0;*;282.148  ;-31.236  ;
264;J0542-68;rcl+13;05:42:35;0;rcl+13;-68:16;0;rcl+13;*;0;*;*;0;*;278.449  ;-31.406  ;
265;J0543+2329;dls72;05:43:09.660;1.1e-02;hlk+04;+23:29:05;5.0e+00;hlk+04;*;0;*;*;0;*;184.363  ;-3.318   ;
266;J0543-6851;mfl+06;05:43:52.71;1.1e-01;mfl+06;-68:51:25.3;9.0e-01;mfl+06;*;0;*;*;0;*;279.125  ;-31.235  ;
267;J0544+20;dsm+16;05:44:12;1.2e+02;dsm+16;+20:50;8.0e+00;dsm+16;*;0;*;*;0;*;186.756  ;-4.495   ;
268;J0545-03;kkl+15;05:45;2.0e+00;kkl+15;-03:10;3.6e+01;kkl+15;*;0;*;*;0;*;208.094  ;-16.213  ;
269;J0546+2441;clm+05;05:46:28.76;3.0e-02;clm+05;+24:41:21;6.0e+00;clm+05;*;0;*;*;0;*;183.728  ;-2.045   ;
270;J0550+09;dsm+16;05:50:28;1.1e+02;dsm+16;+09:51;8.0e+00;dsm+16;*;0;*;*;0;*;197.055  ;-8.774   ;
271;J0554+3107;pga+13;05:54:05.01;3.0e-02;pga+13;+31:07:41;4.0e+00;pga+13;*;0;*;*;0;*;179.058  ;2.697    ;
272;J0555+3948;bck+13;05:55;5.0e+00;bck+13;+39:48;5.0e+00;bck+13;*;0;*;*;0;*;171.610  ;7.192    ;
273;J0555-7056;mfl+06;05:55:01.85;1.2e-01;mfl+06;-70:56:45.6;6.0e-01;mfl+06;*;0;*;*;0;*;281.460  ;-30.119  ;
274;J0556-67;hcb+22;05:56:25;0;hcb+22;-67:29;0;hcb+22;*;0;*;*;0;*;277.454  ;-30.150  ;
275;J0557+1550;skl+15;05:57:31.44918;9.0e-05;skl+15;+15:50:06.046;8.0e-03;skl+15;*;0;*;*;0;*;192.684  ;-4.309   ;
276;J0557-2948;kmk+18;05:57:32.9995;7.0e-04;kmk+18;-29:48:16.804;7.0e-03;kmk+18;*;0;*;*;0;*;235.470  ;-23.989  ;
277;J0600-5756;mlt+78;06:00:46.5;3.0e-01;nmc81;-57:56:54;3.0e+00;nmc81;*;0;*;*;0;*;266.492  ;-29.343  ;
278;J0601-0527;mlt+78;06:01:58.9752;2.0e-04;dgb+19;-05:27:50.871;4.0e-03;dgb+19;-7.36;7.0e-02;dgb+19;-15.24;9.0e-02;dgb+19;212.199  ;-13.481  ;
279;J0605+3757;san16;06:05:05.5439;1.0e-04;san16;+37:57:35.96;1.0e-02;san16;*;0;*;*;0;*;174.193  ;8.022    ;
280;J0608+00;dsm+13;06:08:49;3.0e+01;dsm+13;+00:39;8.0e+00;dsm+13;*;0;*;*;0;*;207.445  ;-9.171   ;
281;J0608+1635;ttk+17;06:08:51.662;5.0e-03;psf+22;+16:35:09.4;4.0e-01;psf+22;*;0;*;*;0;*;193.366  ;-1.569   ;
282;J0609+2130;lxf+05;06:09:58.8861;2.0e-04;lxf+05;+21:30:02.84;9.0e-02;lxf+05;*;0;*;*;0;*;189.192  ;1.040    ;
283;J0610-2100;bjd+06;06:10:13.596735;7.0e-06;vbc+22;-21:00:27.89913;1.1e-04;vbc+22;9.11;3.0e-02;vbc+22;16.45;3.0e-02;vbc+22;227.747  ;-18.184  ;
284;J0611+04;dsm+16;06:11:18;1.1e+02;dsm+16;+04:06;8.0e+00;dsm+16;*;0;*;*;0;*;204.655  ;-7.012   ;
285;J0611+1436;lsb+17;06:11:18.649;1.3e-02;lsb+17;+14:36:52;4.0e+00;lsb+17;*;0;*;*;0;*;195.378  ;-2.004   ;
286;J0611+30;cnst96;06:11:16;2.3e+01;cnst96;+30:16;5.0e+00;cnst96;*;0;*;*;0;*;181.624  ;5.496    ;
287;J0612+3721;stwd85;06:12:48.6867;1.5e-03;hlk+04;+37:21:37.36;1.1e-01;hlk+04;5;3.0e+00;*;5;1.2e+01;*;175.450  ;9.093    ;
288;J0612+37216;slr+14;06:12:44.10;3.0e-02;lsk+18;+37:21:40;2.2e+00;lsk+18;*;0;*;*;0;*;175.442  ;9.080    ;
289;J0613-0200;wmg+22;06:13:43.975901;2.2e-06;rsc+21;-02:00:47.23742;7.2e-05;rsc+21;1.834;5.0e-03;*;-10.353;1.3e-02;*;210.413  ;-9.305   ;
290;J0613+3731;cvh+14;06:13:12.150;1.1e-02;cvh+14;+37:31:38.3;9.0e-01;cvh+14;*;0;*;*;0;*;175.336  ;9.239    ;
291;J0614+2229;dls72;06:14:17.0058;1.0e-04;dgb+19;+22:29:56.848;1.0e-03;dgb+19;-0.24;4.0e-02;dgb+19;-1.25;4.0e-02;dgb+19;188.795  ;2.394    ;
292;J0614-3329;rrc+11;06:14:10.3478;3.0e-04;rrc+11;-33:29:54.118;4.0e-03;rrc+11;0.58;9.0e-02;gsl+16;-1.92;1.2e-01;gsl+16;240.501  ;-21.827  ;
293;J0614+83;slr+14;06:14;1.0e+01;slr+14;+83:14;1.8e+01;slr+14;*;0;*;*;0;*;130.353  ;25.833   ;
294;J0621+0336;bkl+13;06:21:11.221;5.0e-03;bkl+13;+03:36:45.52;1.0e-01;bkl+13;*;0;*;*;0;*;206.246  ;-5.058   ;
295;J0621+1002;cnst96;06:21:22.11436;3.0e-05;dcl+16;+10:02:38.7352;1.5e-03;dcl+16;3.23;1.2e-01;dcl+16;-0.5;5.0e-01;dcl+16;200.570  ;-2.013   ;
296;J0621+2514;san16;06:21:10.8542;1.0e-04;san16;+25:14:03.83;3.0e-02;san16;*;0;*;*;0;*;187.120  ;5.073    ;
297;J0621-55;kbj+18;06:20:42;3.0e+01;kbj+18;-56:05;7.0e+00;kbj+18;*;0;*;*;0;*;264.804  ;-26.411  ;
298;J0622+3749;pga+12;06:22:10.51;2.0e-02;pga+12;+37:49:13.6;9.0e-01;pga+12;*;0;*;*;0;*;175.877  ;10.958   ;
299;J0623+0340;bkl+13;06:23:46.759;1.0e-02;bkl+13;+03:40:06.8;4.0e-01;bkl+13;*;0;*;*;0;*;206.497  ;-4.459   ;
300;J0624-0424;mlt+78;06:24:20.028;2.6e-03;hlk+04;-04:24:50.45;1.1e-01;hlk+04;*;0;*;*;0;*;213.792  ;-8.036   ;
301;J0625+10;cnst96;06:25:45;1.6e+01;cnst96;+10:16;5.0e+00;cnst96;*;0;*;*;0;*;200.878  ;-0.956   ;
302;J0627+0649;bkl+13;06:27:53.6286;8.0e-04;bkl+13;+06:49:54.13;5.0e-02;bkl+13;*;0;*;*;0;*;204.166  ;-2.085   ;
303;J0627+0706;cha03;06:27:44.172;4.0e-03;lbs+20;+07:06:33.0;2.0e-01;lbs+20;*;0;*;*;0;*;203.902  ;-1.991   ;
304;J0627+16;dcm+09;06:27:13;7.0e+00;dcm+09;+16:12;2.0e+00;dcm+09;*;0;*;*;0;*;195.793  ;2.124    ;
305;J0628+0909;cfl+06;06:28:36.183;5.0e-03;nab+13;+09:09:13.9;3.0e-01;nab+13;*;0;*;*;0;*;202.190  ;-0.851   ;
306;J0629+2415;dth78;06:29:05.7273;1.0e-04;dgb+19;+24:15:41.546;1.0e-03;dgb+19;3.56;1.2e-01;dgb+19;-4.68;8.0e-02;dgb+19;188.817  ;6.223    ;
307;J0630-0046;bkl+13;06:30:26.956;1.2e-02;bkl+13;-00:46:05.85;1.7e-01;bkl+13;*;0;*;*;0;*;211.220  ;-5.020   ;
308;J0630+19;dsm+16;06:30:04;1.2e+02;dsm+16;+19:37;8.0e+00;dsm+16;*;0;*;*;0;*;193.071  ;4.303    ;
309;J0630-2834;lvw69a;06:30:49.404393;4.3e-05;dtbr09;-28:34:42.77881;3.7e-04;dtbr09;-46.30;9.9e-01;dtbr09;21.26;5.2e-01;dtbr09;236.952  ;-16.758  ;
310;J0631+0646;cwp+17;06:31:52.38;2.0e-02;cwp+17;+06:46:14.2;7.0e-01;cwp+17;*;0;*;*;0;*;204.678  ;-1.238   ;
311;J0631+1036;zcwl96;06:31:27.524;4.0e-03;ywml10;+10:37:02.5;3.0e-01;ywml10;*;0;*;*;0;*;201.219  ;0.450    ;
312;J0633+0632;aaa+09c;06:33:44.21;2.0e-02;rkp+11;+06:32:34.9;1.6e+00;rkp+11;*;0;*;*;0;*;205.093  ;-0.932   ;
313;J0633+1746;hh92;06:33:54.1530;2.8e-03;clm+98;+17:46:12.909;4.0e-02;clm+98;138;4.0e+00;cbmt96;97;4.0e+00;cbmt96;195.134  ;4.266    ;
314;J0633-2015;bjd+06;06:33:08.86;4.0e-02;bjd+06;-20:15:07.1;6.0e-01;bjd+06;*;0;*;*;0;*;229.260  ;-12.968  ;
315;J0635+0533;cmn+00;06:35:18;2.0e+00;cmn+00;+05:33:11;3.0e+01;cmn+00;*;0;*;*;0;*;206.151  ;-1.043   ;
316;J0636-23;mss+20;06:36;0.0e+00;mss+20;-23;0.0e+00;mss+20;*;0;*;*;0;*;232.113  ;-13.492  ;
317;J0636-3044;mbc+19;06:37:09;0;mbc+19;-30:50:42;0;mbc+19;*;0;*;*;0;*;239.683  ;-16.344  ;
318;J0636-4549;bjd+06;06:36:33.744;1.6e-02;bjd+06;-45:49:32.62;1.6e-01;bjd+06;*;0;*;*;0;*;254.547  ;-21.547  ;
319;J0636+5128;slr+14;06:36:04.847464;4.8e-06;aab+21a;+51:28:59.96547;1.1e-04;aab+21a;3.22;4.1e-02;*;-1.67;1.1e-01;*;163.909  ;18.643   ;
320;J0641+07;ttm+18;06:41:10;1.2e+02;ttm+18;+07:44;2.5e+01;ttm+18;*;0;*;*;0;*;204.882  ;1.252    ;
321;J0645+5158;slr+14;06:45:59.082310;4.1e-06;aab+21a;+51:58:14.91313;6.5e-05;aab+21a;1.546;1.9e-02;*;-7.47;5.0e-02;*;163.963  ;20.251   ;
