ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%),Iono RM,Iono RM error
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc4MTk=,2025-10-08T16:54:16+00:00,LBAND,1023.4874903925232,10.390256405520546,1.805132532586709e-05,59000.0,1.7533,0.065,1597.44848632812,2.267,-2.17557,0.04,0.1156761532738095,-1.4984272213145993,0.05790738217753731
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODY1OTA=,2025-08-30T22:08:55+00:00,LBAND,1022.462155364486,10.390179552295326,3.486259630832395e-05,59000.0,4.5475,0.15,1102.28173828125,1.188,-0.979157,0.06,0.1099363312007874,-0.56152097904411,0.054816918300264625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1MjE=,2025-10-01T19:21:39+00:00,LBAND,1023.5648741682242,10.390227855418605,1.67265866571696e-05,59000.0,0.476,0.072,756.800537109375,1.013,-1.20579,0.07,0.1177565206692913,-0.7079612424211916,0.05563418514457863
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODcyNTQ=,2025-09-28T18:11:25+00:00,LBAND,1022.462155364486,10.390200408944448,1.401706039313128e-05,59000.0,10.0617,0.046,6721.6806640625,7.906,-2.16384,0.03,0.1032464936023622,-1.4799072636228123,0.05871522192860846
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1MjY=,2025-10-01T20:47:14+00:00,LBAND,1023.5648741682242,10.390221011177385,2.735977738729185e-05,59000.0,1.2076,0.116,788.885070800781,0.99,-1.08558,0.08,0.1182409571850393,-0.5491685955668996,0.05423022453721103
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1Mjc=,2025-10-01T21:04:21+00:00,LBAND,1023.4874903925232,10.39021865966929,0.0001598160874437,59000.0,22.6998,0.688,511.081390380859,0.734,-0.903157,0.1,0.1128890871062992,-0.5585395448989253,0.05393441948113057
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1MjQ=,2025-10-01T20:13:00+00:00,LBAND,1023.5648741682244,10.390275223694418,3.125542771317233e-05,59000.0,1.0608,0.097,843.89453125,1.129,-1.11995,0.1,0.1199480191929133,-0.6191033709751619,0.05504352778428924
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1NTE=,2025-09-21T22:37:16+00:00,LBAND,1023.4874903925232,10.390233058489828,3.241887558339732e-05,59000.0,1.6504,0.127,866.48046875,1.069,-1.27257,0.07,0.0932194266732283,-0.5672755747053428,0.052264115114505176
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1Mjg=,2025-10-01T21:21:28+00:00,LBAND,1023.4874903925232,10.390185810648642,5.318157195487493e-05,59000.0,1.393,0.206,458.488525390625,0.624,-0.991634,0.12,0.1207372271825396,-0.5575368937703628,0.05349044443360509
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1NjY=,2025-09-21T15:52:02+00:00,LBAND,1023.4874903925232,10.390228012938673,3.817922479847773e-05,59000.0,1.095,0.159,483.147399902344,0.716,-2.43986,0.09,0.1344964936023622,-1.8346005098229132,0.053974166499756365
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc1Njk=,2025-09-21T16:09:09+00:00,LBAND,1023.5648741682244,10.390246641436343,5.769695039564493e-05,59000.0,1.7333,0.229,414.608764648438,0.599,-2.12036,0.1,0.1267608882874015,-1.7658449264609175,0.05466172778236474
